Project Name,Subject Skill Needed
Auto-Grader - Data v29,Data Structures and Algorithms
Search Engine Mini - Data v28,Discrete Mathematics
Image Classifier - Cloud v6,Computer Organization
Image Classifier - Cloud v18,Discrete Mathematics
Speech-to-Text - Cloud v5,Data Structures and Algorithms
IoT Sensor Monitor - ML v15,Machine Learning
Stock Price Tracker - ML v26,Machine Learning
Map Routing App - Edge v19,Finite Automata
Expense Splitter - Data v12,Finite Automata
Traffic Simulation - Mobile v19,Machine Learning
Sentiment Analyzer - Systems v7,Discrete Mathematics
Compiler Tiny - ML v20,Data Structures and Algorithms
Map Routing App - Cloud v10,Data Structures and Algorithms
Anomaly Detector - Mobile v10,Discrete Mathematics
Quiz App - Systems v26,Computer Networks
IoT Sensor Monitor - ML v27,Discrete Mathematics
Gesture Recognition - Mobile v11,Computer Networks
Weather Dashboard - Cloud v6,Finite Automata
URL Shortener - Mobile v22,Discrete Mathematics
IoT Sensor Monitor - Mobile v14,Computer Networks
Weather Dashboard - Data v13,Computer Organization
Handwriting OCR - Systems v12,Finite Automata
Memory Allocator Demo - Mobile v22,Computer Networks
E-Commerce Site - Cloud v10,Computer Organization
Sentiment Analyzer - Web v29,Computer Organization
Log Parser - Cloud v25,Computer Organization
Anomaly Detector - Data v26,Discrete Mathematics
Forum Platform - Data v16,Computer Organization
Course Planner - Systems v17,Computer Networks
Quiz App - Cloud v19,Computer Networks
Smart Attendance - Web v25,Finite Automata
File Sharing Service - Systems v24,Finite Automata
Course Planner - Web v19,Computer Networks
URL Shortener - Edge v19,Computer Organization
Regex Visualizer - ML v27,Computer Networks
Blog CMS - Mobile v9,Machine Learning
Music Streaming Prototype - Web v20,Finite Automata
Traffic Simulation - ML v3,Machine Learning
Fitness Tracker - Data v30,Discrete Mathematics
Log Parser - Cloud v19,Discrete Mathematics
Weather Dashboard - Systems v22,Computer Organization
Event Ticketing - Systems v16,Data Structures and Algorithms
Face Detection Tool - Mobile v21,Machine Learning
Smart Attendance - Systems v19,Computer Networks
Fraud Detection - Data v17,Machine Learning
Auto-Grader - ML v29,Computer Organization
Recommendation Engine - Data v17,Discrete Mathematics
Memory Allocator Demo - Cloud v12,Finite Automata
Note Taking App - Edge v26,Computer Networks
Recommendation Engine - Data v25,Computer Organization
Anomaly Detector - Data v2,Finite Automata
Traffic Simulation - Systems v11,Discrete Mathematics
Music Streaming Prototype - Systems v19,Data Structures and Algorithms
DB Index Visualizer - Systems v3,Machine Learning
Speech-to-Text - Mobile v12,Machine Learning
Chat App - Edge v24,Finite Automata
E-Commerce Site - Edge v30,Computer Organization
Expense Splitter - Systems v16,Finite Automata
Compiler Tiny - Web v15,Machine Learning
Blog CMS - Edge v20,Finite Automata
Multi-tenant SaaS - Edge v16,Finite Automata
Traffic Simulation - Data v25,Data Structures and Algorithms
Multi-tenant SaaS - Mobile v19,Computer Networks
Todo API - Cloud v3,Finite Automata
Traffic Simulation - ML v20,Finite Automata
Traffic Simulation - Systems v7,Finite Automata
Todo API - Cloud v11,Computer Organization
Anomaly Detector - Edge v23,Computer Networks
Gesture Recognition - Mobile v22,Computer Organization
